No,UID,X,Y,Z,Angle
973,1000101025,-87.745537,1.464313,1.71958,3.21303456
983,1000101025,-87.322479,2.046698,1.714526,4.284046081
993,1000101025,-87.319199,2.04884,1.719635,4.284046081
1003,1000101025,-86.844681,2.632928,1.720898,5.355057601
1013,1000101025,-86.852013,2.639136,1.722492,5.355057601
1023,1000101025,-86.846642,2.633203,1.735071,5.355057601
1033,1000101025,-86.849098,2.638422,1.724854,5.355057601
1043,1000101025,-87.323944,2.04884,1.722821,4.284046081
1053,1000101025,-87.326622,2.049939,1.721777,4.284046081
1063,1000101025,-87.328125,2.046808,1.71524,4.284046081
1073,1000101025,-87.749016,1.464532,1.715845,3.21303456
1083,1000101025,-87.748909,1.460742,1.713757,3.21303456
1103,1000101025,-88.074318,0.886377,1.711176,2.14202304
1113,1000101025,-88.072639,0.880499,1.710901,2.14202304
1123,1000101025,-88.269882,0.30564,1.705518,1.07101152
1133,1000101025,-88.266808,0.30531,1.704858,1.07101152
1143,1000101025,-88.27253,0.303552,1.699805,1.07101152
1153,1000101025,-88.277908,-0.271582,1.696344,0
1163,1000101025,-88.275078,-0.270538,1.691949,0
1173,1000101025,-88.109711,-0.844025,1.693158,-1.07101152
1183,1000101025,-88.110909,-0.845288,1.694147,-1.07101152
1193,1000101025,-88.110458,-0.844299,1.688544,-1.07101152
1203,1000101025,-87.802101,-1.415918,1.689642,-2.14202304
1213,1000101025,-87.80307,-1.415149,1.68316,-2.14202304
1223,1000101025,-87.804382,-1.420093,1.685467,-2.14202304
1233,1000101025,-87.401657,-1.986548,1.685687,-3.21303456
1243,1000101025,-86.95047,-2.552014,1.67168,-4.284046081
1253,1000101025,-86.475197,-3.111493,1.669977,-5.355057601
753,1000101026,-86.482796,-3.384119,0.982123,-5.355057601
763,1000101026,-87.017166,-2.822662,0.985309,-4.284046081
773,1000101026,-87.018417,-2.823102,0.973444,-4.284046081
783,1000101026,-87.01873,-2.819257,0.977893,-4.284046081
