DateTime,UID,V,X,Y,Z,T
20/3/29 16:55:0,1,3503,14.978267,-16.419991,-67.485161,14.9
20/3/29 17:0:0,1,3501,14.96367,-16.399841,-67.508682,14.9
20/3/29 17:5:0,1,3498,14.961681,-16.402811,-67.50634,14.9
20/3/29 17:10:0,1,3498,14.982859,-16.417717,-67.482475,15.1
20/3/29 17:15:0,1,3495,14.986346,-16.407564,-67.485466,14.9
20/3/29 17:20:0,1,3497,14.9819,-16.401878,-67.492805,15
20/3/29 17:25:0,1,3497,14.979859,-16.390669,-67.503204,14.8
20/3/29 17:30:0,1,3497,14.979224,-16.385546,-67.508263,14.9
20/3/29 17:35:0,1,3494,14.979225,-16.376083,-67.515305,14.9
20/3/29 17:40:0,1,3494,14.97645,-16.370598,-67.522797,14.8
20/3/29 17:45:0,1,3497,14.973351,-16.359396,-67.531937,14.7
20/3/29 17:50:0,1,3492,14.973473,-16.34967,-67.539948,14.7
20/3/29 17:55:0,1,3492,14.977364,-16.357912,-67.529671,14.7
20/3/29 18:0:0,1,3494,14.976282,-16.349844,-67.537048,14.6
20/3/29 18:5:0,1,3489,14.972619,-16.342695,-67.545708,14.6
20/3/29 18:10:0,1,3491,14.973202,-16.336941,-67.550453,14.6
20/3/29 18:15:0,1,3492,14.960861,-16.327986,-67.564331,14.5
20/3/29 18:20:0,1,3491,14.975718,-16.352205,-67.534851,14.6
20/3/29 18:25:0,1,3489,14.978562,-16.343441,-67.54277,14.5
20/3/29 18:30:0,1,3491,14.972179,-16.338396,-67.549126,14.5
20/3/29 18:35:0,1,3488,14.968013,-16.332935,-67.556458,14.5
20/3/29 18:40:0,1,3491,14.980178,-16.341305,-67.540771,14.4
20/3/29 18:45:0,1,3489,15.209373,-16.096903,-67.606125,14.5
20/3/29 18:50:0,1,3489,15.336929,-16.267181,-67.343422,14.5
20/3/29 18:55:0,1,3488,15.333389,-16.272196,-67.341194,14.5
20/3/29 19:0:0,1,3489,15.32903,-16.277634,-67.339592,14.3
20/3/29 19:5:0,1,3491,15.328693,-16.283918,-67.336777,14.2
20/3/29 19:10:0,1,3491,15.327943,-16.287199,-67.335129,14
20/3/29 19:15:0,1,3491,15.326676,-16.288179,-67.335396,14
20/3/27 19:40:0,2,3500,2.833568,8.059995,-81.442863,18
20/3/27 19:45:0,2,3501,2.950631,7.892744,-81.572685,18
20/3/27 19:50:0,2,3497,3.025031,7.766515,-81.659592,18
20/3/27 19:55:0,2,3497,3.093547,7.675887,-81.717262,17.700001
20/3/27 20:0:0,2,3497,3.140297,7.586172,-81.781357,17.700001
20/3/27 20:5:0,2,3497,3.177018,7.518306,-81.830185,17.6
20/3/27 20:10:0,2,3497,3.220565,7.45734,-81.8703,17.6
